FID,LAD19CD,LAD19NM,PHEC19CD,PHEC19CDH,PHEC19NM,PHEREG19CD,PHEREG19CDH,PHEREG19NM
29,E07000066,Basildon,E45000017,X25002AG,East of England,E46000002,X25002,Midlands and East of England
30,E06000036,Bracknell Forest,E45000019,X25004AH,South East,E46000004,X25004,South of England
31,E09000010,Enfield,E45000001,X25001AA,London,E46000001,X25001,London
32,E07000067,Braintree,E45000017,X25002AG,East of England,E46000002,X25002,Midlands and East of England
33,E06000037,West Berkshire,E45000019,X25004AH,South East,E46000004,X25004,South of England
34,E09000011,Greenwich,E45000001,X25001AA,London,E46000001,X25001,London
35,E07000068,Brentwood,E45000017,X25002AG,East of England,E46000002,X25002,Midlands and East of England
36,E06000038,Reading,E45000019,X25004AH,South East,E46000004,X25004,South of England
37,E09000012,Hackney,E45000001,X25001AA,London,E46000001,X25001,London
38,E07000069,Castle Point,E45000017,X25002AG,East of England,E46000002,X25002,Midlands and East of England
39,E06000039,Slough,E45000019,X25004AH,South East,E46000004,X25004,South of England
40,E09000013,Hammersmith and Fulham,E45000001,X25001AA,London,E46000001,X25001,London
41,E07000070,Chelmsford,E45000017,X25002AG,East of England,E46000002,X25002,Midlands and East of England
42,E06000040,Windsor and Maidenhead,E45000019,X25004AH,South East,E46000004,X25004,South of England
43,E09000014,Haringey,E45000001,X25001AA,London,E46000001,X25001,London
44,E07000071,Colchester,E45000017,X25002AG,East of England,E46000002,X25002,Midlands and East of England
45,E07000072,Epping Forest,E45000017,X25002AG,East of England,E46000002,X25002,Midlands and East of England
46,E07000073,Harlow,E45000017,X25002AG,East of England,E46000002,X25002,Midlands and East of England
47,E07000074,Maldon,E45000017,X25002AG,East of England,E46000002,X25002,Midlands and East of England
48,E07000075,Rochford,E45000017,X25002AG,East of England,E46000002,X25002,Midlands and East of England
49,E07000076,Tendring,E45000017,X25002AG,East of England,E46000002,X25002,Midlands and East of England
50,E07000077,Uttlesford,E45000017,X25002AG,East of England,E46000002,X25002,Midlands and East of England
51,E07000095,Broxbourne,E45000017,X25002AG,East of England,E46000002,X25002,Midlands and East of England
52,E07000096,Dacorum,E45000017,X25002AG,East of England,E46000002,X25002,Midlands and East of England
53,E07000098,Hertsmere,E45000017,X25002AG,East of England,E46000002,X25002,Midlands and East of England
54,E07000099,North Hertfordshire,E45000017,X25002AG,East of England,E46000002,X25002,Midlands and East of England
55,E07000102,Three Rivers,E45000017,X25002AG,East of England,E46000002,X25002,Midlands and East of England
56,E07000103,Watford,E45000017,X25002AG,East of England,E46000002,X25002,Midlands and East of England
57,E07000143,Breckland,E45000017,X25002AG,East of England,E46000002,X25002,Midlands and East of England
58,E07000144,Broadland,E45000017,X25002AG,East of England,E46000002,X25002,Midlands and East of England
59,E07000145,Great Yarmouth,E45000017,X25002AG,East of England,E46000002,X25002,Midlands and East of England
60,E07000146,King's Lynn and West Norfolk,E45000017,X25002AG,East of England,E46000002,X25002,Midlands and East of England
61,E07000147,North Norfolk,E45000017,X25002AG,East of England,E46000002,X25002,Midlands and East of England
62,E07000148,Norwich,E45000017,X25002AG,East of England,E46000002,X25002,Midlands and East of England
63,E07000149,South Norfolk,E45000017,X25002AG,East of England,E46000002,X25002,Midlands and East of England
64,E07000200,Babergh,E45000017,X25002AG,East of England,E46000002,X25002,Midlands and East of England
65,E07000202,Ipswich,E45000017,X25002AG,East of England,E46000002,X25002,Midlands and East of England
66,E07000203,Mid Suffolk,E45000017,X25002AG,East of England,E46000002,X25002,Midlands and East of England
67,E07000240,St Albans,E45000017,X25002AG,East of England,E46000002,X25002,Midlands and East of England
68,E07000241,Welwyn Hatfield,E45000017,X25002AG,East of England,E46000002,X25002,Midlands and East of England
